City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
409,La Cruz,MX,78.98,clear sky,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
411,Warah,PK,80.56,clear sky,27.4481,67.7978,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
413,Tuy Hoa,VN,76.15,heavy intensity rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
415,Omboue,GA,76.66,overcast clouds,-1.5746,9.2618,Hotel Olako
419,Vao,NC,70.5,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
421,Tabou,CI,82.42,broken clouds,4.423,-7.3528,hotêl doufoulougou
422,Papayal,PE,84.83,few clouds,-4.0761,-80.7361,
425,Talavera,PH,73.2,clear sky,15.6167,120.9333,R&G's Resort
430,Getulio Vargas,UY,82.15,few clouds,-32.6796,-53.5494,
431,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
434,Bardiyah,LY,75.47,overcast clouds,31.7561,25.0865,بورتو بردية
435,Jiazi,CN,71.65,light rain,22.8779,116.067,Hotel Jin Hao
440,Trincomalee,LK,81.48,broken clouds,8.5711,81.2335,Welcombe Hotel
441,Port Blair,IN,81.19,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
443,Asfi,MA,71.04,broken clouds,32.2994,-9.2372,Hôtel Abda
444,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
447,Diplo,PK,81.27,scattered clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
448,Villa Bruzual,VE,81.68,overcast clouds,9.3328,-69.1208,hotel italia
450,Kasongo-Lunda,CD,83.12,overcast clouds,-6.4667,16.8167,
454,Sucua,EC,79.54,light rain,-2.4667,-78.1667,Hotel Orellana
457,Mettur,IN,75.33,light rain,11.8,77.8,Hotel Akash Residency
458,Linhares,BR,76.6,overcast clouds,-19.3911,-40.0722,Hotel Conceição
462,Sabang,ID,81.39,overcast clouds,5.8933,95.3214,Hotel Citra
463,Moranbah,AU,73.71,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
464,Buala,SB,80.02,light rain,-8.145,159.5921,Maringe Lagoon Lodge
471,Pimampiro,EC,70.45,light rain,0.4,-77.9667,Jireh Casa Hostal
472,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
473,Lahij,YE,78.1,overcast clouds,13.1667,44.5833,
476,Vanimo,PG,78.13,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
477,Mecca,SA,84.0,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
480,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
481,Ponta Delgada,PT,75.51,mist,37.7333,-25.6667,Vila Nova Hotel
485,Cairns,AU,78.75,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
488,Mao,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
491,Kwakoa,TZ,81.82,broken clouds,-3.7667,37.7167,MJI Mwema Lodge
